State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,35850,40950,46100,51200,55300,59400,63500,67600,21500,24550,27650,30700,33150,35600,38050,40500,46300,52950,59550,66150,71450,76750,82050,87350
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27150,31050,34900,38800,41900,45000,48100,51200,16300,18650,20950,23300,25150,27050,28900,30750,43450,49700,55900,62100,67050,72050,77000,81950
MA,Worcester County,35850,40950,46100,51200,55300,59400,63500,67600,21500,24550,27650,30700,33150,35600,38050,40500,46300,52950,59550,66150,71450,76750,82050,87350
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27150,31050,34900,38800,41900,45000,48100,51200,16300,18650,20950,23300,25150,27050,28900,30750,43450,49700,55900,62100,67050,72050,77000,81950
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
MA,Worcester County,27150,31050,34900,38800,41900,45000,48100,51200,16300,18650,20950,23300,25150,27050,28900,30750,43450,49700,55900,62100,67050,72050,77000,81950
MA,Worcester County,27150,31050,34900,38800,41900,45000,48100,51200,16300,18650,20950,23300,25150,27050,28900,30750,43450,49700,55900,62100,67050,72050,77000,81950
MA,Worcester County,27900,31900,35850,39850,43050,46250,49400,52600,16750,19100,21500,23900,25800,27700,29650,31550,44650,51000,57400,63750,68850,73950,79050,84150
